,Month,Price
0,1989-05-01,297.0
1,1989-06-01,291.0
2,1989-07-01,272.0
3,1989-08-01,236.0
4,1989-09-01,237.0
5,1989-10-01,238.0
6,1989-11-01,246.0
7,1989-12-01,248.0
8,1990-01-01,242.0
9,1990-02-01,240.0
10,1990-03-01,242.0
11,1990-04-01,247.0
12,1990-05-01,259.0
13,1990-06-01,249.0
14,1990-07-01,252.0
15,1990-08-01,250.0
16,1990-09-01,250.0
17,1990-10-01,247.0
18,1990-11-01,239.0
19,1990-12-01,244.0
20,1991-01-01,239.0
21,1991-02-01,241.0
22,1991-03-01,244.0
23,1991-04-01,245.0
24,1991-05-01,241.0
25,1991-06-01,241.0
26,1991-07-01,229.0
27,1991-08-01,241.0
28,1991-09-01,246.0
29,1991-10-01,237.0
30,1991-11-01,237.0
31,1991-12-01,234.0
32,1992-01-01,236.0
33,1992-02-01,237.0
34,1992-03-01,240.0
35,1992-04-01,235.0
36,1992-05-01,247.0
37,1992-06-01,253.0
38,1992-07-01,237.0
39,1992-08-01,229.0
40,1992-09-01,227.0
41,1992-10-01,221.0
42,1992-11-01,229.0
43,1992-12-01,235.0
44,1993-01-01,239.0
45,1993-02-01,236.0
46,1993-03-01,238.0
47,1993-04-01,244.0
48,1993-05-01,246.0
49,1993-06-01,245.0
50,1993-07-01,287.0
51,1993-08-01,274.0
52,1993-09-01,260.0
53,1993-10-01,249.0
54,1993-11-01,267.0
55,1993-12-01,276.0
56,1994-01-01,282.0
57,1994-02-01,273.0
58,1994-03-01,274.0
59,1994-04-01,261.0
60,1994-05-01,256.0
61,1994-06-01,265.0
62,1994-07-01,237.0
63,1994-08-01,232.0
64,1994-09-01,233.0
65,1994-10-01,227.0
66,1994-11-01,239.0
67,1994-12-01,243.0
68,1995-01-01,243.0
69,1995-02-01,238.0
70,1995-03-01,246.0
71,1995-04-01,249.0
72,1995-05-01,250.0
73,1995-06-01,252.0
74,1995-07-01,261.0
75,1995-08-01,257.0
76,1995-09-01,266.0
77,1995-10-01,271.0
78,1995-11-01,282.0
79,1995-12-01,296.0
80,1996-01-01,305.0
81,1996-02-01,299.0
82,1996-03-01,295.0
83,1996-04-01,316.0
84,1996-05-01,322.0
85,1996-06-01,308.0
86,1996-07-01,312.0
87,1996-08-01,317.0
88,1996-09-01,319.0
89,1996-10-01,290.0
90,1996-11-01,286.0
91,1996-12-01,289.0
92,1997-01-01,301.0
