,Month,Price
0,1989-05-01,256.0
1,1989-06-01,256.0
2,1989-07-01,256.0
3,1989-08-01,214.0
4,1989-09-01,216.0
5,1989-10-01,222.0
6,1989-11-01,226.0
7,1989-12-01,226.0
8,1990-01-01,221.0
9,1990-02-01,209.0
10,1990-03-01,197.0
11,1990-04-01,198.0
12,1990-05-01,198.0
13,1990-06-01,184.0
14,1990-07-01,186.0
15,1990-08-01,189.0
16,1990-09-01,197.0
17,1990-10-01,211.0
18,1990-11-01,204.0
19,1990-12-01,208.0
20,1991-01-01,198.0
21,1991-02-01,192.0
22,1991-03-01,187.0
23,1991-04-01,188.0
24,1991-05-01,200.0
25,1991-06-01,201.0
26,1991-07-01,187.0
27,1991-08-01,195.0
28,1991-09-01,209.0
29,1991-10-01,207.0
30,1991-11-01,202.0
31,1991-12-01,199.0
32,1992-01-01,210.0
33,1992-02-01,204.0
34,1992-03-01,200.0
35,1992-04-01,192.0
36,1992-05-01,196.0
37,1992-06-01,204.0
38,1992-07-01,205.0
39,1992-08-01,205.0
40,1992-09-01,209.0
41,1992-10-01,207.0
42,1992-11-01,206.0
43,1992-12-01,215.0
44,1993-01-01,216.0
45,1993-02-01,201.0
46,1993-03-01,193.0
47,1993-04-01,194.0
48,1993-05-01,195.0
49,1993-06-01,197.0
50,1993-07-01,227.0
51,1993-08-01,223.0
52,1993-09-01,214.0
53,1993-10-01,207.0
54,1993-11-01,216.0
55,1993-12-01,215.0
56,1994-01-01,215.0
57,1994-02-01,207.0
58,1994-03-01,200.0
59,1994-04-01,193.0
60,1994-05-01,196.0
61,1994-06-01,203.0
62,1994-07-01,193.0
63,1994-08-01,189.0
64,1994-09-01,184.0
65,1994-10-01,177.0
66,1994-11-01,174.0
67,1994-12-01,178.0
68,1995-01-01,183.0
69,1995-02-01,185.0
70,1995-03-01,175.0
71,1995-04-01,181.0
72,1995-05-01,181.0
73,1995-06-01,180.0
74,1995-07-01,193.0
75,1995-08-01,190.0
76,1995-09-01,206.0
77,1995-10-01,214.0
78,1995-11-01,225.0
79,1995-12-01,250.0
80,1996-01-01,260.0
81,1996-02-01,253.0
82,1996-03-01,246.0
83,1996-04-01,270.0
84,1996-05-01,271.0
85,1996-06-01,266.0
86,1996-07-01,265.0
87,1996-08-01,270.0
88,1996-09-01,286.0
89,1996-10-01,270.0
90,1996-11-01,274.0
91,1996-12-01,279.0
92,1997-01-01,280.0
93,1997-02-01,282.0
94,1997-03-01,300.0
95,1997-04-01,301.0
96,1997-05-01,300.0
97,1997-06-01,274.0
98,1997-07-01,248.0
99,1997-08-01,258.0
100,1997-09-01,266.0
101,1997-10-01,260.0
102,1997-11-01,276.0
103,1997-12-01,264.0
104,1998-01-01,231.0
105,1998-02-01,214.0
106,1998-03-01,184.0
107,1998-04-01,165.0
108,1998-05-01,162.0
109,1998-06-01,159.0
110,1998-07-01,157.0
111,1998-08-01,145.0
112,1998-09-01,145.0
113,1998-10-01,151.0
114,1998-11-01,163.0
115,1998-12-01,168.0
116,1999-01-01,152.0
117,1999-02-01,143.0
118,1999-03-01,142.0
119,1999-04-01,141.0
120,1999-05-01,140.0
121,1999-06-01,139.0
122,1999-07-01,138.0
123,1999-08-01,152.0
124,1999-09-01,167.0
125,1999-10-01,173.0
126,1999-11-01,169.0
127,1999-12-01,170.0
128,2000-01-01,180.0
129,2000-02-01,187.0
130,2000-03-01,180.0
131,2000-04-01,180.0
132,2000-05-01,191.0
133,2000-06-01,188.0
134,2000-07-01,175.0
135,2000-08-01,176.0
136,2000-09-01,193.0
137,2000-10-01,194.0
138,2000-11-01,203.0
139,2000-12-01,223.0
140,2001-01-01,215.0
141,2001-02-01,183.0
142,2001-03-01,169.0
143,2001-04-01,161.0
144,2001-05-01,172.0
145,2001-06-01,182.0
146,2001-07-01,186.0
147,2001-08-01,183.0
148,2001-09-01,184.0
149,2001-10-01,182.0
150,2001-11-01,182.0
151,2001-12-01,173.0
152,2002-01-01,182.0
153,2002-02-01,169.0
154,2002-03-01,164.0
155,2002-04-01,166.0
156,2002-05-01,169.0
157,2002-06-01,172.0
158,2002-07-01,177.0
159,2002-08-01,173.0
160,2002-09-01,183.0
161,2002-10-01,182.0
162,2002-11-01,186.0
163,2002-12-01,179.0
164,2003-01-01,187.0
165,2003-02-01,192.0
166,2003-03-01,187.0
167,2003-04-01,188.0
168,2003-05-01,199.0
169,2003-06-01,200.0
170,2003-07-01,190.0
171,2003-08-01,192.0
172,2003-09-01,209.0
173,2003-10-01,253.0
174,2003-11-01,270.0
175,2003-12-01,264.0
176,2004-01-01,278.0
177,2004-02-01,279.0
178,2004-03-01,306.0
179,2004-04-01,310.0
180,2004-05-01,281.0
181,2004-06-01,239.0
182,2004-07-01,208.0
183,2004-08-01,200.0
184,2004-09-01,205.0
185,2004-10-01,197.0
186,2004-11-01,193.0
187,2004-12-01,198.0
188,2005-01-01,207.0
189,2005-02-01,203.5
190,2005-03-01,230.0
191,2005-04-01,226.0
192,2005-05-01,217.0
193,2005-06-01,221.0
194,2005-07-01,224.0
195,2005-08-01,220.0
196,2005-09-01,212.0
197,2005-10-01,202.0
