,Month,Price
0,1989-05-01,460.0
1,1989-06-01,464.0
2,1989-07-01,447.0
3,1989-08-01,404.0
4,1989-09-01,410.0
5,1989-10-01,419.0
6,1989-11-01,433.0
7,1989-12-01,429.0
8,1990-01-01,417.0
9,1990-02-01,428.0
10,1990-03-01,442.0
11,1990-04-01,440.0
12,1990-05-01,449.0
13,1990-06-01,435.0
14,1990-07-01,437.0
15,1990-08-01,460.0
16,1990-09-01,461.0
17,1990-10-01,468.0
18,1990-11-01,455.0
19,1990-12-01,476.0
20,1991-01-01,455.0
21,1991-02-01,445.0
22,1991-03-01,453.0
23,1991-04-01,460.0
24,1991-05-01,444.0
25,1991-06-01,440.0
26,1991-07-01,431.0
27,1991-08-01,457.0
28,1991-09-01,468.0
29,1991-10-01,485.0
30,1991-11-01,466.0
31,1991-12-01,442.0
32,1992-01-01,429.0
33,1992-02-01,414.0
34,1992-03-01,434.0
35,1992-04-01,425.0
36,1992-05-01,439.0
37,1992-06-01,456.0
38,1992-07-01,429.0
39,1992-08-01,409.0
40,1992-09-01,421.0
41,1992-10-01,418.0
42,1992-11-01,437.0
43,1992-12-01,436.0
44,1993-01-01,444.0
45,1993-02-01,433.0
46,1993-03-01,438.0
47,1993-04-01,448.0
48,1993-05-01,448.0
49,1993-06-01,461.0
50,1993-07-01,505.0
51,1993-08-01,483.0
52,1993-09-01,489.0
53,1993-10-01,491.0
54,1993-11-01,536.0
55,1993-12-01,589.0
56,1994-01-01,602.0
57,1994-02-01,577.0
58,1994-03-01,586.0
59,1994-04-01,584.0
60,1994-05-01,594.0
61,1994-06-01,571.0
62,1994-07-01,560.0
63,1994-08-01,600.0
64,1994-09-01,672.0
65,1994-10-01,642.0
66,1994-11-01,706.0
67,1994-12-01,693.0
68,1995-01-01,674.0
69,1995-02-01,663.0
70,1995-03-01,652.0
71,1995-04-01,610.0
72,1995-05-01,595.0
73,1995-06-01,611.0
74,1995-07-01,626.0
75,1995-08-01,616.0
76,1995-09-01,614.0
77,1995-10-01,638.0
78,1995-11-01,623.0
79,1995-12-01,579.0
80,1996-01-01,554.0
81,1996-02-01,548.0
82,1996-03-01,538.0
83,1996-04-01,582.0
84,1996-05-01,591.0
85,1996-06-01,563.0
86,1996-07-01,549.0
87,1996-08-01,565.0
88,1996-09-01,569.0
89,1996-10-01,528.0
90,1996-11-01,517.0
91,1996-12-01,514.0
92,1997-01-01,534.0
93,1997-02-01,527.0
94,1997-03-01,541.0
95,1997-04-01,541.0
96,1997-05-01,541.0
97,1997-06-01,550.0
98,1997-07-01,535.0
